"transcript"	"l_tr"	"l_utr5"	"l_cds"	"l_utr3"	"nis_pos"
"YJL133C-A_mRNA"	495	97	222	176	145
"YJL133W_mRNA"	1215	97	942	176	82
"YJL132W_mRNA"	2523	97	2250	176	4
"YJL131C_mRNA"	1341	97	1068	176	70
"YJL130C_mRNA"	6980	162	6642	176	28
"YJL129C_mRNA"	3978	97	3705	176	67
"YJL128C_mRNA"	2277	97	2004	176	7
"YJL127W-A_mRNA"	387	97	114	176	31
"YJL127C-B_mRNA"	429	97	156	176	13
"YJL127C_mRNA"	2193	97	1920	176	142
"YJL126W_mRNA"	1194	97	921	176	10
"YJL125C_mRNA"	1315	58	1149	108	13
"YJL124C_mRNA"	964	172	516	276	88
"YJL123C_mRNA"	1546	40	1434	72	10
"YJL122W_mRNA"	717	29	525	163	55
"YJL121C_mRNA"	815	33	714	68	Inf
"YJL120W_mRNA"	594	97	321	176	106
"YJL119C_mRNA"	594	97	321	176	25
"YJL118W_mRNA"	930	97	657	176	Inf
"YJL117W_mRNA"	958	1	933	24	Inf
"YJL116C_mRNA"	1284	97	1011	176	145
"YJL115W_mRNA"	1002	76	837	89	67
"YJL114W_mRNA"	951	97	678	176	16
"YJL112W_mRNA"	2333	44	2142	147	4
"YJL111W_mRNA"	1839	56	1650	133	13
"YJL110C_mRNA"	1926	97	1653	176	67
"YJL109C_mRNA"	5580	97	5307	176	157
"YJL108C_mRNA"	1422	97	1149	176	37
"YJL107C_mRNA"	1434	97	1161	176	70
"YJL106W_mRNA"	2208	97	1935	176	4
"YJL105W_mRNA"	1953	97	1680	176	13
"YJL104W_mRNA"	671	53	447	171	70
"YJL103C_mRNA"	2172	113	1854	205	181
"YJL102W_mRNA"	2730	97	2457	176	16
"YJL101C_mRNA"	2471	156	2034	281	34
"YJL100W_mRNA"	2094	97	1821	176	16
"YJL099W_mRNA"	2511	97	2238	176	19
"YJL098W_mRNA"	3447	97	3174	176	22
"YJL097W_mRNA"	788	61	651	76	10
"YJL096W_mRNA"	624	41	483	100	46
"YJL095W_mRNA"	4707	97	4434	176	25
"YJL094C_mRNA"	2892	97	2619	176	22
"YJL093C_mRNA"	2346	97	2073	176	64
"YJL092W_mRNA"	3795	97	3522	176	4
"YJL091C_mRNA"	1597	16	1470	111	4
"YJL090C_mRNA"	2565	97	2292	176	124
"YJL089W_mRNA"	2760	97	2487	176	73
"YJL088W_mRNA"	1287	97	1014	176	28
"YJL087C_mRNA"	2754	97	2481	176	22
"YJL086C_mRNA"	639	97	366	176	10
"YJL085W_mRNA"	2072	89	1869	114	64
"YJL084C_mRNA"	3411	97	3138	176	73
"YJL083W_mRNA"	2085	97	1812	176	40
"YJL082W_mRNA"	2532	118	2193	221	31
"YJL081C_mRNA"	1740	97	1467	176	7
"YJL080C_mRNA"	3939	97	3666	176	61
"YJL079C_mRNA"	1271	187	897	187	Inf
"YJL078C_mRNA"	2916	97	2643	176	136
"YJL077W-B_mRNA"	369	97	96	176	61
"YJL077C_mRNA"	666	97	393	176	67
"YJL077W-A_mRNA"	357	97	84	176	103
"YJL076W_mRNA"	3840	97	3567	176	55
"YJL075C_mRNA"	687	97	414	176	Inf
"YJL074C_mRNA"	3963	97	3690	176	28
"YJL073W_mRNA"	2151	120	1935	96	4
"YJL072C_mRNA"	1281	53	639	589	79
"YJL071W_mRNA"	1995	97	1722	176	70
"YJL070C_mRNA"	2937	97	2664	176	70
"YJL069C_mRNA"	1917	22	1782	113	25
"YJL068C_mRNA"	1170	97	897	176	94
"YJL066C_mRNA"	1029	97	756	176	103
"YJL067W_mRNA"	621	97	348	176	100
"YJL065C_mRNA"	774	97	501	176	22
"YJL064W_mRNA"	666	97	393	176	112
"YJL063C_mRNA"	987	97	714	176	40
"YJL062W-A_mRNA"	487	29	255	203	13
"YJL062W_mRNA"	2763	97	2490	176	25
"YJL061W_mRNA"	2412	97	2139	176	136
"YJL060W_mRNA"	1483	59	1332	92	40
"YJL059W_mRNA"	1497	97	1224	176	37
"YJL058C_mRNA"	1902	97	1629	176	37
"YJL057C_mRNA"	2274	97	2001	176	7
"YJL056C_mRNA"	2913	97	2640	176	7
"YJL055W_mRNA"	821	22	735	64	4
"YJL054W_mRNA"	1707	97	1434	176	100
"YJL053W_mRNA"	1410	97	1137	176	85
"YJL052C-A_mRNA"	390	97	117	176	31
"YJL052W_mRNA"	1202	74	996	132	16
"YJL051W_mRNA"	2739	97	2466	176	73
"YJL050W_mRNA"	3492	97	3219	176	52
"YJL049W_mRNA"	1623	97	1350	176	13
"YJL048C_mRNA"	1461	97	1188	176	148
"YJL047C-A_mRNA"	405	97	132	176	73
"YJL047C_mRNA"	2799	97	2526	176	64
"YJL046W_mRNA"	1500	97	1227	176	7
"YJL045W_mRNA"	2175	97	1902	176	49
"YJL044C_mRNA"	1709	79	1374	256	37
"YJL043W_mRNA"	1044	97	771	176	148
"YJL042W_mRNA"	4467	97	4194	176	4
"YJL041W_mRNA"	2668	67	2469	132	40
"YJL039C_mRNA"	5322	97	5049	176	22
"YJL038C_mRNA"	930	97	657	176	19
"YJL037W_mRNA"	945	97	672	176	142
"YJL036W_mRNA"	1542	97	1269	176	13
"YJL035C_mRNA"	1023	97	750	176	145
"YJL034W_mRNA"	2283	38	2046	199	10
"YJL033W_mRNA"	2420	26	2310	84	34
"YJL031C_mRNA"	1254	97	981	176	4
"YJL032W_mRNA"	585	97	312	176	52
"YJL030W_mRNA"	812	38	588	186	4
"YJL029C_mRNA"	2739	97	2466	176	13
"YJL028W_mRNA"	606	97	333	176	Inf
"YJL027C_mRNA"	687	97	414	176	49
"YJL026W_mRNA"	1407	66	1197	144	121
"YJL026C-A_mRNA"	492	97	219	176	52
"YJL025W_mRNA"	1815	97	1542	176	52
"YJL024C_mRNA"	823	22	582	219	22
"YJL023C_mRNA"	1314	97	1041	176	61
"YJL022W_mRNA"	579	97	306	176	10
"YJL020C_mRNA"	3744	97	3471	176	85
"YJL020W-A_mRNA"	528	97	255	176	70
"YJL019W_mRNA"	2319	97	2046	176	19
"YJL016W_mRNA"	1956	97	1683	176	73
"YJL015C_mRNA"	555	97	282	176	166
"YJL014W_mRNA"	1772	46	1602	124	4
"YJL013C_mRNA"	1818	97	1545	176	28
"YJL012C_mRNA"	2259	31	2163	65	34
"YJL011C_mRNA"	756	97	483	176	22
"YJL010C_mRNA"	2119	25	1998	96	28
"YJL008C_mRNA"	1984	43	1704	237	31
"YJL009W_mRNA"	597	97	324	176	52
"YJL007C_mRNA"	585	97	312	176	7
"YJL006C_mRNA"	1090	65	969	56	16
"YJL005W_mRNA"	6351	97	6078	176	103
"YJL004C_mRNA"	882	97	609	176	76
"YJL003W_mRNA"	627	97	354	176	73
"YJL002C_mRNA"	1626	56	1428	142	13
"YJL001W_mRNA"	907	42	645	220	4
"YJR001W_mRNA"	2003	56	1806	141	46
"YJR002W_mRNA"	2168	15	1779	374	157
"YJR003C_mRNA"	1830	97	1557	176	13
"YJR004C_mRNA"	2223	97	1950	176	58
"YJR005W_mRNA"	2373	97	2100	176	46
"YJR005C-A_mRNA"	552	97	279	176	43
"YJR006W_mRNA"	1554	14	1461	79	28
"YJR007W_mRNA"	1171	89	912	170	67
"YJR008W_mRNA"	1248	151	1014	83	4
"YJR009C_mRNA"	1390	272	996	122	7
"YJR010W_mRNA"	1806	97	1533	176	10
"YJR010C-A_mRNA"	555	97	282	176	40
"YJR011C_mRNA"	907	45	783	79	10
"YJR012C_mRNA"	894	97	621	176	25
"YJR013W_mRNA"	1370	64	1209	97	10
"YJR014W_mRNA"	866	47	594	225	76
"YJR015W_mRNA"	1803	97	1530	176	16
"YJR016C_mRNA"	1908	15	1755	138	25
"YJR017C_mRNA"	783	97	510	176	100
"YJR018W_mRNA"	633	97	360	176	13
"YJR019C_mRNA"	1320	97	1047	176	55
"YJR020W_mRNA"	603	97	330	176	52
"YJR021C_mRNA"	1215	97	942	176	55
"YJR023C_mRNA"	672	97	399	176	85
"YJR022W_mRNA"	600	97	327	176	88
"YJR024C_mRNA"	1005	97	732	176	16
"YJR025C_mRNA"	899	213	531	155	34
"YJR030C_mRNA"	2508	97	2235	176	13
"YJR031C_mRNA"	4497	97	4224	176	40
"YJR032W_mRNA"	1452	97	1179	176	28
"YJR033C_mRNA"	4344	97	4071	176	64
"YJR034W_mRNA"	473	80	324	69	25
"YJR035W_mRNA"	3528	97	3255	176	34
"YJR036C_mRNA"	2949	97	2676	176	97
"YJR037W_mRNA"	654	97	381	176	94
"YJR038C_mRNA"	633	97	360	176	7
"YJR039W_mRNA"	3636	97	3363	176	49
"YJR040W_mRNA"	2444	44	2337	63	37
"YJR041C_mRNA"	3795	97	3522	176	127
"YJR042W_mRNA"	2362	23	2232	107	58
"YJR043C_mRNA"	1323	97	1050	176	46
"YJR044C_mRNA"	645	63	420	162	52
"YJR045C_mRNA"	2323	139	1962	222	19
"YJR046W_mRNA"	2085	97	1812	176	25
"YJR047C_mRNA"	744	97	471	176	10
"YJR048W_mRNA"	578	56	327	195	34
"YJR049C_mRNA"	1863	97	1590	176	55
"YJR050W_mRNA"	992	31	705	256	106
"YJR051W_mRNA"	1776	97	1503	176	19
"YJR052W_mRNA"	1968	97	1695	176	4
"YJR053W_mRNA"	1995	97	1722	176	43
"YJR054W_mRNA"	1764	97	1491	176	4
"YJR055W_mRNA"	765	97	492	176	22
"YJR056C_mRNA"	1025	190	708	127	73
"YJR057W_mRNA"	739	19	648	72	Inf
"YJR058C_mRNA"	714	97	441	176	88
"YJR059W_mRNA"	2642	61	2454	127	19
"YJR060W_mRNA"	1769	122	1053	594	22
"YJR061W_mRNA"	3078	97	2805	176	28
"YJR062C_mRNA"	1644	97	1371	176	22
"YJR063W_mRNA"	572	36	375	161	64
"YJR064W_mRNA"	1840	60	1686	94	19
"YJR065C_mRNA"	1537	39	1347	151	61
"YJR066W_mRNA"	7683	97	7410	176	Inf
"YJR067C_mRNA"	696	97	423	176	22
"YJR068W_mRNA"	1186	53	1059	74	22
"YJR069C_mRNA"	768	51	591	126	13
"YJR070C_mRNA"	1175	87	975	113	22
"YJR071W_mRNA"	639	97	366	176	Inf
"YJR072C_mRNA"	1279	57	1155	67	Inf
"YJR073C_mRNA"	891	97	618	176	70
"YJR074W_mRNA"	927	97	654	176	16
"YJR075W_mRNA"	1438	49	1188	201	40
"YJR076C_mRNA"	1424	48	1245	131	49
"YJR077C_mRNA"	1206	97	933	176	13
"YJR078W_mRNA"	1632	97	1359	176	19
"YJR079W_mRNA"	600	97	327	176	52
"YJR080C_mRNA"	1455	97	1182	176	109
"YJR082C_mRNA"	681	148	339	194	97
"YJR083C_mRNA"	1200	97	927	176	46
"YJR084W_mRNA"	1542	97	1269	176	4
"YJR085C_mRNA"	439	26	315	98	55
"YJR086W_mRNA"	603	97	330	176	4
"YJR087W_mRNA"	621	97	348	176	37
"YJR088C_mRNA"	1149	97	876	176	34
"YJR089W_mRNA"	3135	97	2862	176	109
"YJR090C_mRNA"	3726	97	3453	176	79
"YJR091C_mRNA"	3546	97	3273	176	121
"YJR092W_mRNA"	4614	97	4341	176	61
"YJR093C_mRNA"	1254	97	981	176	43
"YJR094C_mRNA"	1353	97	1080	176	130
"YJR094W-A_mRNA"	457	37	276	144	76
"YJR095W_mRNA"	1239	97	966	176	28
"YJR096W_mRNA"	1052	122	846	84	70
"YJR097W_mRNA"	789	97	516	176	4
"YJR098C_mRNA"	2241	97	1968	176	133
"YJR099W_mRNA"	880	90	708	82	4
"YJR100C_mRNA"	1127	60	981	86	31
"YJR101W_mRNA"	1071	97	798	176	4
"YJR102C_mRNA"	879	97	606	176	25
"YJR103W_mRNA"	2007	97	1734	176	58
"YJR104C_mRNA"	820	278	462	80	7
"YJR105W_mRNA"	1111	43	1020	48	19
"YJR106W_mRNA"	2448	97	2175	176	40
"YJR107W_mRNA"	1257	97	984	176	67
"YJR108W_mRNA"	642	97	369	176	19
"YJR109C_mRNA"	3527	91	3354	82	28
"YJR110W_mRNA"	2337	97	2064	176	10
"YJR111C_mRNA"	1122	97	849	176	37
"YJR112W_mRNA"	876	97	603	176	13
"YJR112W-A_mRNA"	458	20	327	111	28
"YJR113C_mRNA"	1014	97	741	176	31
"YJR114W_mRNA"	663	97	390	176	76
"YJR115W_mRNA"	780	97	507	176	148
"YJR116W_mRNA"	1110	97	837	176	Inf
"YJR117W_mRNA"	1491	30	1359	102	22
"YJR118C_mRNA"	795	63	609	123	10
"YJR119C_mRNA"	2457	97	2184	176	37
"YJR120W_mRNA"	621	97	348	176	Inf
"YJR121W_mRNA"	1806	97	1533	176	10
"YJR122W_mRNA"	1764	97	1491	176	55
"YJR123W_mRNA"	918	50	675	193	100
"YJR124C_mRNA"	1589	59	1344	186	28
"YJR125C_mRNA"	1351	60	1224	67	61
"YJR126C_mRNA"	2706	97	2433	176	58
"YJR127C_mRNA"	4413	97	4140	176	22
"YJR128W_mRNA"	630	97	357	176	19
"YJR129C_mRNA"	1290	97	1017	176	43
"YJR130C_mRNA"	2190	97	1917	176	25
"YJR131W_mRNA"	1733	28	1647	58	Inf
"YJR132W_mRNA"	3417	97	3144	176	10
"YJR133W_mRNA"	826	90	627	109	4
"YJR134C_mRNA"	2394	97	2121	176	25
"YJR135C_mRNA"	990	97	717	176	52
"YJR135W-A_mRNA"	600	25	261	314	58
"YJR136C_mRNA"	1536	97	1263	176	52
"YJR137C_mRNA"	4599	97	4326	176	4
"YJR138W_mRNA"	5025	97	4752	176	13
"YJR139C_mRNA"	1350	97	1077	176	49
"YJR140C_mRNA"	5217	97	4944	176	13
"YJR140W-A_mRNA"	420	97	147	176	31
"YJR141W_mRNA"	1314	97	1041	176	7
"YJR142W_mRNA"	1299	97	1026	176	40
"YJR143C_mRNA"	2559	97	2286	176	73
"YJR144W_mRNA"	949	67	807	75	Inf
"YJR145C_mRNA"	912	57	783	72	10
"YJR146W_mRNA"	624	97	351	176	46
"YJR147W_mRNA"	1347	97	1074	176	Inf
"YJR148W_mRNA"	1242	57	1128	57	22
"YJR149W_mRNA"	1485	97	1212	176	16
"YJR150C_mRNA"	1167	97	894	176	4
"YJR151C_mRNA"	3756	97	3483	176	4
"YJR151W-A_mRNA"	321	97	48	176	43
"YJR152W_mRNA"	1902	97	1629	176	22
"YJR153W_mRNA"	1356	97	1083	176	25
"YJR154W_mRNA"	1311	97	1038	176	10
"YJR155W_mRNA"	1137	97	864	176	13
"YJR156C_mRNA"	1293	97	1020	176	52
"YJR157W_mRNA"	633	97	360	176	43
"YJR158W_mRNA"	1974	97	1701	176	37
"YJR159W_mRNA"	1344	97	1071	176	70
"YJR160C_mRNA"	2079	97	1806	176	28
"YJR161C_mRNA"	1422	97	1149	176	70
"YJR162C_mRNA"	621	97	348	176	22
"YKL225W_mRNA"	618	97	345	176	58
"YKL224C_mRNA"	642	97	369	176	43
"YKL223W_mRNA"	603	97	330	176	64
"YKL222C_mRNA"	2388	97	2115	176	28
"YKL221W_mRNA"	1692	97	1419	176	103
"YKL220C_mRNA"	2406	97	2133	176	16
"YKL219W_mRNA"	1494	97	1221	176	28
"YKL218C_mRNA"	1310	129	978	203	88
"YKL217W_mRNA"	2036	51	1848	137	22
"YKL216W_mRNA"	1282	42	942	298	25
"YKL215C_mRNA"	4131	97	3858	176	112
"YKL214C_mRNA"	708	56	609	43	34
"YKL213C_mRNA"	2261	38	2145	78	43
"YKL212W_mRNA"	2142	97	1869	176	4
"YKL211C_mRNA"	1725	97	1452	176	46
"YKL210W_mRNA"	3345	97	3072	176	13
"YKL209C_mRNA"	4143	97	3870	176	31
"YKL208W_mRNA"	930	36	813	81	19
"YKL207W_mRNA"	889	31	759	99	Inf
"YKL206C_mRNA"	928	35	801	92	43
"YKL205W_mRNA"	3573	97	3300	176	103
"YKL204W_mRNA"	2076	26	1896	154	10
"YKL203C_mRNA"	7695	97	7422	176	7
"YKL202W_mRNA"	852	97	579	176	4
"YKL201C_mRNA"	3807	97	3534	176	31
"YKL198C_mRNA"	2259	97	1986	176	22
"YKL197C_mRNA"	3402	97	3129	176	76
"YKL196C_mRNA"	857	76	600	181	55
"YKL195W_mRNA"	1425	51	1209	165	28
"YKL194C_mRNA"	1648	50	1386	212	31
"YKL193C_mRNA"	1287	97	1014	176	7
"YKL192C_mRNA"	575	60	375	140	70
"YKL191W_mRNA"	1875	97	1602	176	10
"YKL190W_mRNA"	739	38	525	176	7
"YKL189W_mRNA"	1429	94	1197	138	7
"YKL188C_mRNA"	2832	97	2559	176	10
"YKL187C_mRNA"	2523	97	2250	176	19
"YKL186C_mRNA"	838	110	552	176	43
"YKL185W_mRNA"	2245	359	1764	122	16
"YKL184W_mRNA"	1671	97	1398	176	58
"YKL183C-A_mRNA"	483	97	210	176	7
"YKL183W_mRNA"	1191	97	918	176	142
"YKL182W_mRNA"	6426	97	6153	176	13
"YKL181W_mRNA"	1617	205	1281	131	109
"YKL180W_mRNA"	735	48	552	135	19
"YKL179C_mRNA"	2310	97	2037	176	25
"YKL178C_mRNA"	1683	97	1410	176	34
"YKL177W_mRNA"	609	97	336	176	31
"YKL176C_mRNA"	2757	97	2484	176	46
"YKL175W_mRNA"	1635	46	1509	80	4
"YKL174C_mRNA"	2127	97	1854	176	100
"YKL173W_mRNA"	3148	18	3024	106	88
"YKL172W_mRNA"	1554	97	1281	176	43
"YKL171W_mRNA"	3057	97	2784	176	82
"YKL169C_mRNA"	654	97	381	176	13
"YKL170W_mRNA"	692	101	414	177	7
"YKL168C_mRNA"	2445	97	2172	176	43
"YKL167C_mRNA"	638	26	411	201	16
"YKL166C_mRNA"	1467	97	1194	176	19
"YKL165C-A_mRNA"	504	97	231	176	28
"YKL165C_mRNA"	3030	97	2757	176	79
"YKL164C_mRNA"	1370	81	1023	266	7
"YKL163W_mRNA"	1248	97	975	176	37
"YKL162C-A_mRNA"	423	97	150	176	7
"YKL162C_mRNA"	1479	97	1206	176	19
"YKL161C_mRNA"	1572	97	1299	176	Inf
"YKL160W_mRNA"	588	55	435	98	79
"YKL159C_mRNA"	762	28	633	101	82
"YKL157W_mRNA"	3037	34	2856	147	124
"YKL156W_mRNA"	509	23	246	240	13
"YKL156C-A_mRNA"	387	97	114	176	46
"YKL155C_mRNA"	2157	97	1884	176	25
"YKL154W_mRNA"	1005	97	732	176	19
"YKL152C_mRNA"	949	40	741	168	7
"YKL153W_mRNA"	780	97	507	176	55
"YKL151C_mRNA"	1284	97	1011	176	13
"YKL150W_mRNA"	1235	153	906	176	64
"YKL149C_mRNA"	1488	97	1215	176	58
"YKL148C_mRNA"	2263	152	1920	191	97
"YKL147C_mRNA"	888	97	615	176	7
"YKL146W_mRNA"	2192	21	2076	95	Inf
"YKL145W_mRNA"	1674	97	1401	176	Inf
"YKL145W-A_mRNA"	363	97	90	176	166
"YKL144C_mRNA"	854	88	636	130	4
"YKL143W_mRNA"	1590	54	1389	147	19
"YKL142W_mRNA"	897	97	657	143	22
"YKL141W_mRNA"	769	42	594	133	Inf
"YKL140W_mRNA"	1917	97	1644	176	43
"YKL139W_mRNA"	1813	195	1584	34	19
"YKL138C-A_mRNA"	576	57	207	312	43
"YKL138C_mRNA"	648	129	393	126	28
"YKL137W_mRNA"	559	52	333	174	49
"YKL135C_mRNA"	2451	97	2178	176	7
"YKL136W_mRNA"	669	97	396	176	46
"YKL134C_mRNA"	2589	97	2316	176	13
"YKL133C_mRNA"	1452	13	1389	50	Inf
"YKL132C_mRNA"	1637	200	1290	147	16
"YKL131W_mRNA"	792	97	519	176	40
"YKL130C_mRNA"	946	50	738	158	49
"YKL129C_mRNA"	4089	97	3816	176	10
"YKL128C_mRNA"	1158	97	885	176	64
"YKL127W_mRNA"	1907	40	1710	157	16
"YKL126W_mRNA"	2313	97	2040	176	7
"YKL125W_mRNA"	2161	118	1881	162	16
"YKL124W_mRNA"	2010	97	1737	176	13
"YKL123W_mRNA"	651	97	378	176	31
"YKL122C_mRNA"	638	52	501	85	19
"YKL121W_mRNA"	2829	97	2556	176	16
"YKL120W_mRNA"	1333	163	972	198	10
"YKL119C_mRNA"	918	97	645	176	16
"YKL118W_mRNA"	582	97	309	176	19
"YKL117W_mRNA"	923	53	648	222	31
"YKL116C_mRNA"	1827	97	1554	176	55
"YKL115C_mRNA"	663	97	390	176	7
"YKL114C_mRNA"	1374	97	1101	176	4
"YKL113C_mRNA"	1306	49	1146	111	55
"YKL112W_mRNA"	2466	97	2193	176	13
"YKL111C_mRNA"	606	97	333	176	58
"YKL110C_mRNA"	1290	232	939	119	31
"YKL109W_mRNA"	2392	367	1662	363	55
"YKL108W_mRNA"	1514	23	1359	132	7
"YKL107W_mRNA"	1200	97	927	176	46
"YKL106C-A_mRNA"	390	97	117	176	43
"YKL106W_mRNA"	1626	97	1353	176	88
"YKL105C_mRNA"	3669	97	3396	176	70
"YKL104C_mRNA"	2424	97	2151	176	76
"YKL103C_mRNA"	1856	70	1542	244	151
"YKL102C_mRNA"	576	97	303	176	55
"YKL101W_mRNA"	4827	97	4554	176	37
"YKL100C_mRNA"	2034	97	1761	176	76
"YKL100W-A_mRNA"	360	97	87	176	43
"YKL099C_mRNA"	919	80	750	89	Inf
"YKL098W_mRNA"	1210	52	1071	87	Inf
"YKL097C_mRNA"	681	97	408	176	106
"YKL096C-B_mRNA"	420	97	147	176	55
"YKL096W-A_mRNA"	557	86	276	195	22
"YKL096W_mRNA"	881	52	717	112	43
"YKL095W_mRNA"	1107	97	834	176	37
"YKL094W_mRNA"	1054	23	939	92	25
"YKL093W_mRNA"	1290	97	1017	176	31
"YKL092C_mRNA"	3585	97	3312	176	7
"YKL091C_mRNA"	1203	97	930	176	7
"YKL090W_mRNA"	1528	26	1329	173	49
"YKL089W_mRNA"	1883	12	1647	224	7
"YKL088W_mRNA"	1947	21	1713	213	10
"YKL087C_mRNA"	962	99	672	191	67
"YKL086W_mRNA"	493	18	381	94	4
"YKL085W_mRNA"	1549	156	1002	391	22
"YKL084W_mRNA"	621	97	348	176	31
"YKL083W_mRNA"	885	97	612	176	124
"YKL082C_mRNA"	1495	50	1302	143	4
"YKL081W_mRNA"	1541	44	1236	261	10
"YKL080W_mRNA"	1364	95	1176	93	28
"YKL079W_mRNA"	2241	97	1968	176	7
"YKL078W_mRNA"	2326	22	2205	99	16
"YKL077W_mRNA"	1553	113	1176	264	112
"YKL076C_mRNA"	654	97	381	176	100
"YKL075C_mRNA"	1623	97	1350	176	46
"YKL074C_mRNA"	1691	24	1581	86	28
"YKL073W_mRNA"	2783	44	2643	96	22
"YKL072W_mRNA"	2571	97	2298	176	67
"YKL071W_mRNA"	1041	97	768	176	94
"YKL070W_mRNA"	780	97	507	176	52
"YKL069W_mRNA"	610	30	540	40	10
"YKL068W-A_mRNA"	616	45	234	337	19
"YKL068W_mRNA"	3118	120	2877	121	40
"YKL067W_mRNA"	797	141	459	197	31
"YKL066W_mRNA"	714	97	441	176	10
"YKL065W-A_mRNA"	492	97	219	176	16
"YKL065C_mRNA"	840	75	618	147	94
"YKL064W_mRNA"	3180	97	2907	176	25
"YKL063C_mRNA"	871	196	501	174	100
"YKL062W_mRNA"	2163	97	1890	176	10
"YKL061W_mRNA"	637	30	339	268	43
"YKL060C_mRNA"	1273	54	1077	142	16
"YKL059C_mRNA"	1556	52	1323	181	115
"YKL058W_mRNA"	780	52	366	362	40
"YKL057C_mRNA"	3384	97	3111	176	4
"YKL056C_mRNA"	916	147	501	268	7
"YKL055C_mRNA"	1107	97	834	176	55
"YKL054C_mRNA"	2487	97	2214	176	4
"YKL053C-A_mRNA"	464	86	258	120	43
"YKL053W_mRNA"	645	97	372	176	103
"YKL052C_mRNA"	995	42	876	77	10
"YKL051W_mRNA"	1536	100	1059	377	16
"YKL050C_mRNA"	3039	97	2766	176	115
"YKL049C_mRNA"	960	97	687	176	4
"YKL048C_mRNA"	2189	85	1920	184	76
"YKL047W_mRNA"	1688	57	1548	83	19
"YKL046C_mRNA"	1620	97	1347	176	34
"YKL045W_mRNA"	1799	73	1584	142	40
"YKL044W_mRNA"	591	97	318	176	97
"YKL043W_mRNA"	1525	267	1098	160	22
"YKL042W_mRNA"	1362	97	1089	176	4
"YKL041W_mRNA"	1018	94	672	252	31
"YKL040C_mRNA"	1058	62	768	228	34
"YKL039W_mRNA"	1990	165	1569	256	22
"YKL038W_mRNA"	3783	97	3510	176	103
"YKL037W_mRNA"	627	97	354	176	7
"YKL036C_mRNA"	663	97	390	176	19
"YKL035W_mRNA"	1799	131	1497	171	100
"YKL034W_mRNA"	2481	91	2274	116	64
"YKL033W-A_mRNA"	887	106	708	73	61
"YKL033W_mRNA"	3387	97	3114	176	100
"YKL032C_mRNA"	2064	97	1791	176	31
"YKL031W_mRNA"	684	97	411	176	Inf
"YKL030W_mRNA"	876	97	603	176	28
"YKL029C_mRNA"	2161	37	2007	117	52
"YKL028W_mRNA"	1805	49	1446	310	34
"YKL027W_mRNA"	1614	97	1341	176	163
"YKL026C_mRNA"	829	144	501	184	64
"YKL025C_mRNA"	2128	28	2037	63	16
"YKL024C_mRNA"	885	97	612	176	22
"YKL023C-A_mRNA"	498	97	225	176	10
"YKL023W_mRNA"	1104	97	831	176	28
"YKL022C_mRNA"	2793	97	2520	176	25
"YKL021C_mRNA"	1677	97	1404	176	43
"YKL020C_mRNA"	3519	97	3246	176	Inf
"YKL019W_mRNA"	1221	97	948	176	136
"YKL018C-A_mRNA"	502	53	297	152	106
"YKL018W_mRNA"	1260	97	987	176	19
"YKL017C_mRNA"	2322	97	2049	176	43
"YKL016C_mRNA"	753	96	522	135	82
"YKL015W_mRNA"	3140	98	2937	105	97
"YKL014C_mRNA"	5565	97	5292	176	13
"YKL013C_mRNA"	805	45	513	247	73
"YKL012W_mRNA"	2022	97	1749	176	7
"YKL011C_mRNA"	1166	13	1059	94	16
"YKL010C_mRNA"	4722	97	4449	176	25
"YKL009W_mRNA"	896	69	708	119	31
"YKL008C_mRNA"	1527	97	1254	176	43
"YKL007W_mRNA"	981	36	804	141	43
"YKL006C-A_mRNA"	412	49	291	72	4
"YKL006W_mRNA"	691	160	414	117	43
"YKL005C_mRNA"	2055	97	1782	176	7
"YKL004W_mRNA"	1703	356	1203	144	4
"YKL003C_mRNA"	570	41	393	136	7
"YKL002W_mRNA"	1012	77	696	239	10
"YKL001C_mRNA"	838	116	606	116	25
"YKR001C_mRNA"	2413	68	2112	233	103
"YKR002W_mRNA"	2004	242	1704	58	22
"YKR003W_mRNA"	1527	108	1344	75	19
"YKR004C_mRNA"	1404	97	1131	176	25
"YKR005C_mRNA"	1848	97	1575	176	7
"YKR006C_mRNA"	873	11	792	70	Inf
"YKR007W_mRNA"	662	23	552	87	4
"YKR008W_mRNA"	1990	27	1875	88	4
"YKR009C_mRNA"	2973	97	2700	176	22
"YKR010C_mRNA"	2557	114	2313	130	13
"YKR011C_mRNA"	1332	97	1059	176	31
"YKR012C_mRNA"	648	97	375	176	25
"YKR013W_mRNA"	1260	97	987	176	37
"YKR014C_mRNA"	952	152	702	98	49
"YKR015C_mRNA"	1977	97	1704	176	82
"YKR016W_mRNA"	1900	46	1620	234	94
"YKR017C_mRNA"	1926	97	1653	176	88
"YKR018C_mRNA"	2321	39	2175	107	37
"YKR019C_mRNA"	2045	90	1845	110	10
"YKR020W_mRNA"	765	97	492	176	Inf
"YKR021W_mRNA"	3018	97	2745	176	91
"YKR022C_mRNA"	1239	97	966	176	25
"YKR023W_mRNA"	1702	48	1590	64	4
"YKR024C_mRNA"	2499	97	2226	176	22
"YKR025W_mRNA"	1006	50	846	110	10
"YKR026C_mRNA"	1188	97	915	176	31
"YKR027W_mRNA"	2484	99	2295	90	19
"YKR028W_mRNA"	3372	97	3099	176	76
"YKR029C_mRNA"	2526	97	2253	176	130
"YKR030W_mRNA"	984	46	819	119	40
